,action,episode,reward,step,time_sec
0, ,1,-1.0,1.0,5
1, ,1,-1.0,2.0,10
2, ,1,-10.0,3.0,15
3, ,1,-23.2,4.0,20
4, ,1,-34.2,5.0,25
5, ,1,-46.8,6.0,30
6, ,1,-62.800000000000004,7.0,35
7, ,1,-90.6,8.0,40
8, ,1,-109.60000000000001,9.0,45
9, ,1,-117.8,10.0,50
10, ,1,-109.80000000000001,11.0,55
11, ,1,-130.8,12.0,60
12, ,1,-149.40000000000003,13.0,65
13, ,1,-142.20000000000002,14.0,70
14, ,1,-166.00000000000003,15.0,75
15, ,1,-192.00000000000003,16.0,80
16, ,1,-200.20000000000002,17.0,85
17, ,1,-171.4,18.0,90
18, ,1,-194.0,19.0,95
19, ,1,-135.4,20.0,100
20, ,1,-164.60000000000002,21.0,105
21, ,1,-211.40000000000003,22.0,110
22, ,1,-197.60000000000005,23.0,115
23, ,1,-224.00000000000003,24.0,120
24, ,1,-249.20000000000002,25.0,125
25, ,1,-246.20000000000002,26.0,130
26, ,1,-259.19999999999993,27.0,135
27, ,1,-262.99999999999994,28.0,140
28, ,1,-288.3999999999999,29.0,145
29, ,1,-304.4,30.0,150
30, ,1,-300.4,31.0,155
31, ,1,-339.2,32.0,160
32, ,1,-341.19999999999993,33.0,165
33, ,1,-378.5999999999999,34.0,170
34, ,1,-175.40000000000003,35.0,175
35, ,1,-196.40000000000003,36.0,180
36, ,1,-229.80000000000004,37.0,185
37, ,1,-254.80000000000004,38.0,190
38, ,1,-287.2,39.0,195
39, ,1,-322.59999999999997,40.0,200
40, ,1,-354.2,41.0,205
41, ,1,-338.3999999999999,42.0,210
42, ,1,-368.79999999999995,43.0,215
43, ,1,-262.0,44.0,220
44, ,1,-248.0,45.0,225
45, ,1,-276.00000000000006,46.0,230
46, ,1,-308.00000000000006,47.0,235
47, ,1,-337.00000000000006,48.0,240
48, ,1,-340.20000000000005,49.0,245
49, ,1,-360.40000000000003,50.0,250
50, ,1,-351.20000000000005,51.0,255
51, ,1,-297.40000000000003,52.0,260
52, ,1,-264.40000000000003,53.0,265
53, ,1,-234.4,54.0,270
54, ,1,-208.79999999999998,55.0,275
55, ,1,-232.4,56.0,280
56, ,1,-186.20000000000002,57.0,285
57, ,1,-219.20000000000002,58.0,290
58, ,1,-277.0,59.0,295
59, ,1,-327.20000000000005,60.0,300
60, ,1,-372.80000000000007,61.0,305
61, ,1,-406.20000000000005,62.0,310
62, ,1,-444.20000000000005,63.0,315
63, ,1,-434.00000000000006,64.0,320
64, ,1,-423.80000000000007,65.0,325
65, ,1,-438.2,66.0,330
66, ,1,-482.0,67.0,335
67, ,1,-519.2,68.0,340
68, ,1,-252.79999999999998,69.0,345
69, ,1,-273.8,70.0,350
70, ,1,-300.8,71.0,355
71, ,1,-295.00000000000006,72.0,360
72, ,1,-318.00000000000006,73.0,365
73, ,1,-351.20000000000005,74.0,370
74, ,1,-393.40000000000003,75.0,375
75, ,1,-343.00000000000006,76.0,380
76, ,1,-257.6,77.0,385
77, ,1,-254.8,78.0,390
78, ,1,-258.0,79.0,395
79, ,1,-278.6,80.0,400
80, ,1,-290.6,81.0,405
81, ,1,-327.40000000000003,82.0,410
82, ,1,-284.20000000000005,83.0,415
83, ,1,-318.0,84.0,420
84, ,1,-320.6,85.0,425
85, ,1,-183.20000000000002,86.0,430
