,action,episode,reward,step,time_sec
0,"0,0,0,0,0,0,0,0,0,0,0,0,0",1,-1.0,1.0,5
1,"0,0,0,0,0,2,0,0,0,0,0,0,0",1,-1.0,2.0,10
2,"1,0,0,0,0,0,2,0,0,0,0,0,0",1,-4.6,3.0,15
3,"0,0,0,1,0,2,0,0,0,1,0,0,0",1,-4.8,4.0,20
4,"0,0,0,1,0,2,0,1,0,1,0,0,0",1,-10.6,5.0,25
5,"1,1,0,0,0,0,2,1,0,0,0,0,0",1,-1.6,6.0,30
6,"0,1,0,2,0,0,0,2,0,0,0,0,0",1,-6.4,7.0,35
7,"0,1,1,1,1,0,5,2,0,1,0,0,1",1,-1.4,8.0,40
8,"0,1,0,1,2,0,3,0,0,0,0,0,0",1,-5.4,9.0,45
9,"0,1,0,2,3,1,0,0,0,0,0,0,0",1,-9.0,10.0,50
10,"0,0,0,0,3,0,1,0,0,0,0,1,1",1,-12.4,11.0,55
11,"0,1,1,0,3,0,3,3,0,0,0,0,1",1,-17.000000000000004,12.0,60
12,"0,0,1,0,2,0,0,2,0,0,0,1,1",1,-16.400000000000002,13.0,65
13,"0,0,0,1,2,0,1,0,0,0,0,0,0",1,-17.200000000000003,14.0,70
14,"0,0,0,0,0,0,1,0,0,0,1,1,0",1,-14.0,15.0,75
15,"0,0,0,0,0,1,1,2,0,0,0,0,1",1,-19.8,16.0,80
16,"0,0,1,0,1,2,4,3,0,0,1,1,0",1,-6.4,17.0,85
17,"0,0,0,1,0,0,4,0,0,0,0,1,0",1,-6.6000000000000005,18.0,90
18,"0,0,0,0,0,1,0,2,0,0,1,1,1",1,-2.4,19.0,95
19,"0,0,0,0,0,0,0,2,0,0,0,1,1",1,-4.4,20.0,100
20,"1,0,0,0,0,2,2,2,0,0,1,1,0",1,-8.4,21.0,105
21,"0,0,0,1,0,0,2,3,0,1,1,1,0",1,-20.999999999999996,22.0,110
22,"1,0,0,1,0,2,0,1,0,0,1,1,0",1,-18.8,23.0,115
23,"0,1,1,0,2,1,0,1,0,1,1,0,0",1,-9.0,24.0,120
24,"0,1,1,2,3,1,0,2,0,1,0,0,0",1,-16.6,25.0,125
25,"0,0,0,1,0,2,3,2,0,0,0,1,0",1,-5.4,26.0,130
26,"0,1,1,2,3,0,5,2,0,0,0,0,0",1,-8.4,27.0,135
27,"0,1,0,0,0,1,0,3,0,0,0,0,0",1,-7.2,28.0,140
28,"0,1,0,0,3,1,1,0,0,0,0,0,1",1,-11.000000000000002,29.0,145
