,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
0,47.00,1.00,46.00,1,9to13.0,0.00,0
1,50.00,5.00,45.00,1,8to16.0,0.00,0
2,53.00,8.00,45.00,1,17to7.0,0.00,0
3,55.00,0.00,55.00,1,5to1.0,5.00,1
4,56.00,3.00,53.00,1,16to13.0,0.00,0
5,57.00,11.00,46.00,1,8to9.0,3.00,1
6,63.00,6.00,57.00,1,16to14.0,0.00,0
7,68.00,2.00,66.00,1,9to14.0,10.00,1
8,71.00,18.00,53.00,1,16to8.0,0.00,0
9,71.00,4.00,67.00,1,8to14.0,0.00,0
10,73.00,3.00,70.00,1,8to13.0,0.00,0
11,78.00,4.00,74.00,1,9to16.0,2.00,1
12,80.00,10.00,70.00,1,7to17.0,28.00,1
13,82.00,11.00,71.00,1,5to17.0,0.00,0
14,83.00,8.00,75.00,1,8to17.0,0.00,0
15,86.00,0.00,86.00,1,7to1.0,6.00,1
16,88.00,13.00,75.00,1,7to9.0,0.00,0
17,90.00,21.00,69.00,1,16to9.0,0.00,0
18,93.00,1.00,92.00,1,17to13.0,5.00,2
19,93.00,11.00,82.00,1,17to8.0,7.00,1
20,94.00,12.00,82.00,1,4to8.0,3.00,1
21,97.00,6.00,91.00,1,1to7.0,1.00,1
22,97.00,0.00,97.00,1,3to11.0,9.00,2
23,98.00,3.00,95.00,1,7to13.0,2.00,1
24,98.00,9.00,89.00,1,7to16.0,0.00,0
25,100.00,6.00,94.00,1,17to4.0,16.00,1
26,100.00,0.00,100.00,1,8to1.0,1.00,1
27,103.00,15.00,88.00,1,13to8.0,5.00,2
28,103.00,0.00,103.00,1,1to13.0,4.00,1
29,106.00,0.00,106.00,1,2to13.0,1.00,1
30,109.00,9.00,100.00,1,4to17.0,20.00,3
31,114.00,7.00,107.00,1,9to17.0,4.00,2
32,116.00,18.00,98.00,1,13to9.0,0.00,0
33,117.00,12.00,105.00,1,17to9.0,1.00,1
34,117.00,15.00,102.00,1,4to9.0,1.00,1
35,118.00,9.00,109.00,1,16to17.0,8.00,1
36,120.00,12.00,108.00,1,16to4.0,0.00,0
37,120.00,15.00,105.00,1,16to7.0,4.00,2
38,120.00,6.00,114.00,1,2to8.0,3.00,1
39,121.00,9.00,112.00,1,5to16.0,0.00,0
40,123.00,6.00,117.00,1,4to16.0,15.00,2
41,123.00,8.00,115.00,1,9to4.0,5.00,1
42,126.00,0.00,126.00,1,17to1.0,22.00,2
43,127.00,3.00,124.00,1,17to14.0,29.00,3
44,128.00,0.00,128.00,1,9to1.0,0.00,0
45,129.00,0.00,129.00,1,4to13.0,9.00,3
46,130.00,3.00,127.00,1,4to14.0,4.00,2
47,131.00,3.00,128.00,1,5to13.0,4.00,2
48,132.00,6.00,126.00,1,5to14.0,1.00,1
49,134.00,3.00,131.00,1,2to14.0,5.00,1
50,135.00,6.00,129.00,1,13to17.0,1.00,1
51,141.00,3.00,138.00,1,13to16.0,6.00,3
52,142.00,3.00,139.00,1,1to14.0,5.00,3
53,143.00,100.00,43.00,1,8to9.1,0.00,0
54,145.00,100.00,45.00,1,7to17.1,0.00,0
55,145.00,91.00,54.00,1,9to13.1,0.00,0
56,146.00,90.00,56.00,1,5to1.1,5.00,2
57,148.00,0.00,148.00,1,16to1.0,9.00,1
58,148.00,96.00,52.00,1,16to14.1,0.00,0
59,149.00,9.00,140.00,1,13to4.0,0.00,0
60,149.00,12.00,137.00,1,13to7.0,24.00,1
61,149.00,93.00,56.00,1,16to13.1,1.00,1
62,152.00,6.00,146.00,1,7to14.0,41.00,2
63,153.00,9.00,144.00,1,1to9.0,4.00,1
64,155.00,99.00,56.00,1,17to7.1,1.00,1
65,156.00,9.00,147.00,1,2to9.0,7.00,2
66,157.00,92.00,65.00,1,9to14.1,5.00,2
67,159.00,108.00,51.00,1,16to8.1,0.00,0
68,163.00,93.00,70.00,1,8to13.1,0.00,0
69,164.00,94.00,70.00,1,8to14.1,0.00,0
70,167.00,96.00,71.00,1,17to4.1,1.00,1
71,168.00,0.00,168.00,1,13to1.0,0.00,0
72,169.00,94.00,75.00,1,9to16.1,0.00,0
73,170.00,90.00,80.00,1,7to1.1,6.00,1
74,172.00,95.00,77.00,1,8to16.1,20.00,2
75,178.00,103.00,75.00,1,7to9.1,0.00,0
76,180.00,14.00,166.00,1,5to9.0,29.00,4
77,182.00,99.00,83.00,1,7to16.1,0.00,0
78,184.00,98.00,86.00,1,9to4.1,0.00,0
79,185.00,60.00,125.00,1,1to13.1,10.00,1
80,186.00,60.00,126.00,1,2to13.1,16.00,1
81,188.00,111.00,77.00,1,16to9.1,0.00,0
82,188.00,102.00,86.00,1,17to8.1,0.00,0
83,190.00,97.00,93.00,1,8to17.1,6.00,2
84,191.00,90.00,101.00,1,17to1.1,0.00,0
85,192.00,105.00,87.00,1,13to8.1,8.00,1
86,192.00,102.00,90.00,1,5to17.1,3.00,1
87,193.00,90.00,103.00,1,8to1.1,0.00,0
88,194.00,106.00,88.00,1,4to9.1,0.00,0
89,196.00,91.00,105.00,1,17to13.1,7.00,2
90,199.00,105.00,94.00,1,16to7.1,8.00,2
91,199.00,93.00,106.00,1,17to14.1,8.00,3
92,204.00,97.00,107.00,1,9to17.1,1.00,1
93,205.00,99.00,106.00,1,4to17.1,25.00,4
94,207.00,99.00,108.00,1,16to17.1,1.00,1
95,207.00,93.00,114.00,1,1to7.1,19.00,4
96,209.00,93.00,116.00,1,7to13.1,12.00,2
97,211.00,104.00,107.00,1,17to9.1,3.00,2
98,212.00,90.00,122.00,1,2to14.1,6.00,2
99,212.00,96.00,116.00,1,4to16.1,6.00,2
100,214.00,90.00,124.00,1,4to13.1,4.00,3
101,214.00,93.00,121.00,1,4to14.1,0.00,0
102,216.00,90.00,126.00,1,1to14.1,3.00,2
103,216.00,93.00,123.00,1,5to13.1,3.00,1
104,218.00,99.00,119.00,1,5to16.1,3.00,1
105,220.00,93.00,127.00,1,13to16.1,9.00,2
106,221.00,90.00,131.00,1,9to1.1,0.00,0
107,222.00,120.00,102.00,1,2to13.2,0.00,0
108,222.00,185.00,37.00,1,8to16.2,0.00,0
109,223.00,102.00,121.00,1,16to4.1,7.00,1
110,224.00,103.00,121.00,1,4to8.1,26.00,2
111,229.00,99.00,130.00,1,13to4.1,0.00,0
112,231.00,108.00,123.00,1,13to9.1,19.00,3
113,231.00,93.00,138.00,1,2to8.1,12.00,4
114,231.00,181.00,50.00,1,9to13.2,0.00,0
115,232.00,90.00,142.00,1,16to1.1,0.00,0
116,233.00,188.00,45.00,1,17to7.2,0.00,0
117,233.00,191.00,42.00,1,8to9.2,0.00,0
118,234.00,96.00,138.00,1,5to14.1,5.00,2
119,234.00,180.00,54.00,1,5to1.2,5.00,1
120,238.00,96.00,142.00,1,7to14.1,28.00,3
121,239.00,96.00,143.00,1,13to17.1,16.00,2
122,239.00,96.00,143.00,1,2to9.1,4.00,1
123,239.00,183.00,56.00,1,16to13.2,0.00,0
124,240.00,198.00,42.00,1,16to8.2,0.00,0
125,240.00,190.00,50.00,1,7to17.2,6.00,1
126,242.00,186.00,56.00,1,16to14.2,0.00,0
127,245.00,105.00,140.00,1,5to9.1,2.00,1
